CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0024,Female,0,Yes,No,7,Yes,Yes,DSL,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),64.18,469.61,Yes
CUST-0025,Female,0,Yes,Yes,58,No,No phone service,Fiber optic,No,No,Yes,No,One year,Yes,Credit card (automatic),90.04,4973.96,No
CUST-0026,Female,0,Yes,Yes,70,Yes,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),92.41,6388.78,Yes
CUST-0027,Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,No,No,Yes,Two year,No,Bank transfer (automatic),85.4,266.36,Yes
CUST-0028,Female,1,Yes,Yes,3,Yes,No,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Mailed check,95.48,279.98,Yes
CUST-0029,Female,0,Yes,Yes,71,Yes,Yes,Fiber optic,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),95.1,6598.96,No
CUST-0030,Female,0,Yes,Yes,49,Yes,No,DSL,No,Yes,No,Yes,Two year,Yes,Electronic check,65.51,3146.39,No
CUST-0031,Male,0,No,No,9,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),104.48,950.89,Yes
CUST-0032,Male,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,Two year,No,Bank transfer (automatic),73.23,72.78,No
CUST-0033,Female,0,No,Yes,5,Yes,Yes,Fiber optic,No,Yes,Yes,No,Two year,No,Credit card (automatic),88.23,451.17,No
CUST-0034,Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),32.38,201.94,Yes
CUST-0035,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),33.48,2077.8,No
CUST-0036,Male,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.21,125.03,No
CUST-0037,Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),100.97,1053.39,No
CUST-0038,Male,0,Yes,Yes,52,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Electronic check,95.48,4848.07,Yes
CUST-0039,Male,0,Yes,No,49,Yes,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),66.44,3141.68,No
CUST-0040,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),102.06,6557.66,Yes
CUST-0041,Male,0,Yes,Yes,5,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Electronic check,101.12,508.8,Yes
CUST-0042,Male,1,No,No,60,No,No phone service,Fiber optic,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.64,5055.54,No
CUST-0043,Female,0,No,Yes,71,Yes,Yes,Fiber optic,No,No,No,Yes,Two year,No,Electronic check,99.28,6794.14,No
CUST-0044,Female,0,No,Yes,4,Yes,Yes,DSL,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),63.71,249.74,No
CUST-0045,Female,0,No,Yes,67,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.89,5956.86,Yes
CUST-0046,Female,1,Yes,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.0,26.27,No
CUST-0047,Female,1,Yes,Yes,65,Yes,Yes,DSL,No,Yes,No,Yes,One year,Yes,Mailed check,64.74,4341.72,Yes
CUST-0048,Male,0,Yes,No,6,Yes,No phone service,Fiber optic,No,No,Yes,No,Two year,Yes,Mailed check,92.11,567.1,No
CUST-0049,Female,0,No,No,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,30.03,1817.65,No
CUST-0050,Female,0,Yes,No,59,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,98.89,5686.11,No
CUST-0051,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Credit card (automatic),100.39,5988.75,Yes
CUST-0052,Female,0,No,Yes,51,Yes,Yes,DSL,No,No,No,No,Two year,Yes,Mailed check,59.9,2904.47,No
CUST-0053,Male,0,No,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,No,One year,No,Mailed check,85.99,892.54,Yes
CUST-0054,Female,1,Yes,Yes,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),41.98,244.29,Yes
CUST-0055,Male,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,85.2,267.03,Yes
CUST-0056,Female,0,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Electronic check,103.74,510.53,Yes
CUST-0057,Female,0,Yes,Yes,51,Yes,Yes,DSL,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,67.55,3424.62,No
CUST-0058,Male,0,Yes,Yes,4,Yes,No phone service,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,61.44,250.84,Yes
CUST-0059,Male,0,Yes,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),29.93,301.92,Yes
CUST-0060,Male,0,No,Yes,8,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),85.18,669.03,Yes
CUST-0061,Male,0,No,Yes,70,No,No phone service,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,89.71,6313.46,Yes
CUST-0062,Male,0,No,Yes,7,Yes,No phone service,DSL,No,No,Yes,Yes,Two year,Yes,Mailed check,57.75,413.61,No
CUST-0063,Male,0,Yes,No,1,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),97.24,92.79,Yes
CUST-0064,Male,0,No,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),28.33,1913.17,No
CUST-0065,Male,1,Yes,No,56,Yes,No,Fiber optic,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),95.57,5329.62,No
CUST-0066,Female,0,Yes,No,9,Yes,Yes,DSL,Yes,No,Yes,No,One year,No,Electronic check,66.8,579.09,No
CUST-0067,Female,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,Month-to-month,No,Electronic check,90.96,462.28,Yes
CUST-0068,Male,1,Yes,No,2,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),85.7,166.5,Yes
CUST-0069,Female,0,Yes,Yes,48,Yes,No,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,85.75,4088.13,Yes
CUST-0070,Female,1,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),25.53,49.51,Yes
CUST-0071,Female,0,No,Yes,5,Yes,No,Fiber optic,Yes,No,No,No,Month-to-month,No,Electronic check,99.78,501.33,No
CUST-0072,Female,1,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),31.36,150.78,No
CUST-0073,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Mailed check,100.93,576.68,Yes
CUST-0074,Female,1,No,No,9,Yes,Yes,DSL,No,No,Yes,No,One year,Yes,Bank transfer (automatic),63.63,547.0,No
CUST-0075,Male,0,No,No,49,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.06,4818.3,No
CUST-0076,Female,1,Yes,Yes,70,Yes,Yes,DSL,No,No,No,Yes,One year,No,Bank transfer (automatic),65.26,4404.63,No
CUST-0077,Female,0,No,Yes,64,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),39.26,2565.06,No
CUST-0078,Female,0,No,Yes,6,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,90.47,519.37,Yes
CUST-0079,Male,1,No,Yes,62,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,87.43,5208.36,Yes
CUST-0080,Female,0,Yes,Yes,52,Yes,Yes,Fiber optic,No,No,No,No,One year,Yes,Mailed check,96.12,5002.74,No
CUST-0081,Male,0,Yes,Yes,1,Yes,Yes,DSL,No,Yes,Yes,No,One year,No,Mailed check,61.54,61.32,Yes
CUST-0082,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,One year,Yes,Mailed check,93.85,392.35,No
CUST-0083,Male,0,Yes,Yes,64,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,Yes,Mailed check,97.94,6546.92,No
CUST-0084,Female,0,No,No,54,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),64.88,3601.62,Yes
CUST-0085,Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,No,Yes,No,Two year,No,Mailed check,97.41,590.4,Yes
CUST-0086,Male,1,Yes,No,53,Yes,No,DSL,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),65.88,3476.12,No
CUST-0087,Female,0,No,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),99.8,5704.92,No
CUST-0088,Male,0,No,Yes,6,No,No phone service,Fiber optic,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.12,621.3,No
CUST-0089,Female,1,No,Yes,65,Yes,No,DSL,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),65.68,4313.38,No
CUST-0090,Female,1,Yes,No,51,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,38.58,1983.04,No
CUST-0091,Female,0,Yes,Yes,65,Yes,Yes,DSL,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),72.47,4584.34,No
CUST-0092,Female,0,Yes,Yes,6,Yes,Yes,DSL,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),63.65,364.56,No
CUST-0093,Female,0,No,Yes,10,No,No phone service,DSL,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.26,660.71,Yes
CUST-0094,Female,0,No,Yes,3,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),100.28,295.25,No
CUST-0095,Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Electronic check,96.65,864.87,Yes
CUST-0096,Female,0,No,Yes,3,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Two year,Yes,Mailed check,86.42,249.27,No
CUST-0097,Female,0,No,Yes,67,Yes,Yes,DSL,No,Yes,No,No,One year,Yes,Mailed check,72.84,5044.86,No
CUST-0098,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,Yes,Yes,One year,No,Credit card (automatic),55.62,158.97,No
CUST-0099,Female,1,Yes,No,56,Yes,No,Fiber optic,No,Yes,No,Yes,Two year,No,Electronic check,99.97,5785.18,No
CUST-0100,Male,1,No,Yes,70,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),40.18,2711.15,Yes
CUST-0101,Male,0,No,No,2,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),44.06,91.53,Yes
CUST-0102,Female,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,No,Two year,No,Credit card (automatic),56.08,401.6,Yes
CUST-0103,Female,0,Yes,Yes,9,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.94,843.18,Yes
CUST-0104,Female,0,No,Yes,71,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),33.56,2398.21,No
CUST-0105,Female,0,No,Yes,10,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Mailed check,91.61,898.96,Yes
CUST-0106,Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.81,77.83,No
CUST-0107,Female,1,Yes,Yes,11,Yes,Yes,DSL,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,66.25,754.96,Yes
CUST-0108,Female,0,No,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,34.58,136.99,No
CUST-0109,Female,1,No,Yes,4,Yes,No,Fiber optic,No,Yes,No,No,One year,No,Mailed check,87.09,344.83,No
CUST-0110,Male,0,No,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,37.25,1945.09,No
CUST-0111,Female,0,No,Yes,3,No,No phone service,Fiber optic,No,Yes,Yes,No,Two year,No,Mailed check,99.76,295.78,No
CUST-0112,Male,0,Yes,Yes,60,Yes,No,Fiber optic,No,No,No,No,One year,No,Credit card (automatic),100.35,6244.47,Yes
CUST-0113,Female,1,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.11,127.55,Yes
CUST-0114,Female,1,No,Yes,55,Yes,No,DSL,No,Yes,No,No,Month-to-month,No,Mailed check,63.19,3632.37,No
CUST-0115,Male,0,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,No,Two year,No,Electronic check,104.06,217.41,Yes
CUST-0116,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),102.31,394.7,Yes
CUST-0117,Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),90.93,703.97,Yes
CUST-0118,Female,0,No,Yes,63,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),28.19,1840.1,Yes
CUST-0119,Female,1,No,No,67,Yes,No,DSL,No,No,No,Yes,Two year,Yes,Credit card (automatic),63.71,4222.65,No
CUST-0120,Male,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),93.04,5570.89,No
CUST-0121,Female,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,No,Yes,One year,No,Credit card (automatic),96.51,754.66,Yes
CUST-0122,Male,0,No,Yes,52,Yes,No phone service,DSL,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),66.67,3500.57,No
CUST-0123,Female,1,No,Yes,51,Yes,Yes,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Electronic check,100.0,5252.61,No
CUST-0124,Male,0,No,Yes,1,Yes,No,DSL,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),65.2,62.81,Yes
CUST-0125,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,Month-to-month,No,Mailed check,87.1,334.82,Yes
CUST-0126,Female,0,No,Yes,1,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),42.17,43.95,Yes
CUST-0127,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,No,No,Two year,No,Electronic check,91.2,5048.22,No
CUST-0128,Male,0,Yes,No,56,Yes,No phone service,Fiber optic,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),104.43,5900.35,No
CUST-0129,Female,0,No,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,27.36,1348.49,Yes
CUST-0130,Female,1,Yes,Yes,8,Yes,No phone service,Fiber optic,No,Yes,No,No,Two year,No,Bank transfer (automatic),104.17,827.39,No
CUST-0131,Female,0,No,Yes,64,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.82,1760.86,No
CUST-0132,Male,1,No,Yes,49,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Two year,Yes,Electronic check,89.62,4335.12,No
CUST-0133,Male,1,No,Yes,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.93,50.54,Yes
CUST-0134,Male,0,No,Yes,6,Yes,No,DSL,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),69.1,424.11,Yes
CUST-0135,Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,42.01,2500.11,No
CUST-0136,Male,1,Yes,No,71,Yes,No,DSL,Yes,Yes,Yes,No,Two year,No,Mailed check,63.68,4739.03,No
CUST-0137,Male,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,Yes,No,Month-to-month,No,Credit card (automatic),103.57,6732.76,No
CUST-0138,Male,0,No,Yes,65,No,No phone service,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),96.81,6557.76,Yes
CUST-0139,Male,0,No,Yes,70,Yes,No,Fiber optic,No,No,No,Yes,Month-to-month,No,Mailed check,97.6,7127.81,Yes
CUST-0140,Male,0,Yes,Yes,53,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),101.91,5261.72,No
CUST-0141,Female,1,Yes,No,4,Yes,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,90.94,374.59,Yes
CUST-0142,Male,0,Yes,No,64,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),92.09,5854.02,No
CUST-0143,Female,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,Two year,Yes,Electronic check,73.12,228.52,No
CUST-0144,Female,0,No,Yes,55,Yes,No,DSL,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,73.02,3996.03,No
CUST-0145,Female,0,No,Yes,62,Yes,Yes,DSL,Yes,No,No,No,One year,No,Mailed check,74.53,4733.73,Yes
CUST-0146,Male,0,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),103.04,616.18,Yes
CUST-0147,Male,0,No,Yes,11,Yes,Yes,DSL,No,No,Yes,No,Month-to-month,No,Mailed check,57.55,615.79,Yes
CUST-0148,Male,0,Yes,Yes,10,No,No phone service,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),101.47,984.24,Yes
CUST-0149,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),93.2,832.52,Yes
CUST-0150,Female,0,Yes,Yes,68,No,No phone service,DSL,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),74.82,5217.47,No
CUST-0151,Male,0,No,Yes,6,Yes,No,Fiber optic,No,No,Yes,Yes,Two year,Yes,Electronic check,94.45,572.63,No
CUST-0152,Male,1,Yes,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.08,330.82,Yes
CUST-0153,Male,0,Yes,Yes,68,Yes,Yes,DSL,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),65.6,4363.4,Yes
CUST-0154,Male,0,No,Yes,52,Yes,No,Fiber optic,No,No,Yes,Yes,Month-to-month,No,Mailed check,91.43,4745.78,No
CUST-0155,Male,1,Yes,No,53,Yes,No,Fiber optic,No,No,No,No,Two year,No,Electronic check,86.5,4375.65,No
CUST-0156,Female,0,No,No,61,No,No phone service,Fiber optic,No,No,Yes,Yes,Two year,Yes,Mailed check,102.91,6477.03,No
CUST-0157,Male,0,No,No,66,Yes,No,Fiber optic,No,No,No,No,Month-to-month,Yes,Electronic check,101.05,6996.27,No
CUST-0158,Female,0,Yes,Yes,63,Yes,No,Fiber optic,Yes,No,Yes,No,One year,Yes,Electronic check,87.79,5479.3,No
CUST-0159,Male,0,No,Yes,56,Yes,No,Fiber optic,No,No,No,Yes,Two year,No,Bank transfer (automatic),100.54,5354.65,No
CUST-0160,Female,0,No,Yes,59,Yes,No,DSL,No,Yes,Yes,No,Month-to-month,No,Mailed check,67.52,3851.96,Yes
CUST-0161,Male,0,No,Yes,9,No,No phone service,Fiber optic,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),93.18,851.44,No
CUST-0162,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),90.08,728.72,No
CUST-0163,Female,0,No,Yes,50,Yes,Yes,DSL,No,No,Yes,No,One year,Yes,Bank transfer (automatic),72.19,3713.64,No
CUST-0164,Female,0,Yes,Yes,63,Yes,No,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,99.0,6083.73,Yes
CUST-0165,Female,0,No,Yes,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.95,2472.48,No
CUST-0166,Male,0,No,Yes,11,No,No phone service,Fiber optic,Yes,No,No,No,Month-to-month,Yes,Mailed check,97.19,1089.2,Yes
CUST-0167,Female,0,No,No,48,Yes,No,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),86.82,4093.58,Yes
CUST-0168,Male,0,No,Yes,59,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,34.48,2043.48,No
CUST-0169,Male,1,No,Yes,10,Yes,Yes,Fiber optic,No,Yes,No,No,Month-to-month,No,Mailed check,88.87,857.39,Yes
CUST-0170,Female,0,Yes,Yes,6,Yes,No,Fiber optic,Yes,No,No,No,One year,Yes,Credit card (automatic),89.17,532.47,No
CUST-0171,Female,0,No,Yes,58,Yes,Yes,Fiber optic,No,No,No,No,Two year,Yes,Mailed check,98.23,5914.29,No
CUST-0172,Male,0,Yes,No,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.23,2058.45,No
CUST-0173,Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),93.08,384.94,Yes
CUST-0174,Female,0,Yes,No,57,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.15,5127.7,Yes
CUST-0175,Female,1,Yes,No,70,Yes,No,Fiber optic,No,No,No,No,One year,Yes,Credit card (automatic),97.97,6646.93,No
CUST-0176,Female,1,No,Yes,66,Yes,No phone service,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),42.42,2822.68,No
CUST-0177,Male,0,Yes,Yes,59,No,No phone service,Fiber optic,Yes,No,No,No,One year,Yes,Bank transfer (automatic),99.97,5901.55,No
CUST-0178,Male,1,Yes,Yes,50,Yes,Yes,DSL,No,Yes,No,Yes,Two year,Yes,Mailed check,72.38,3582.08,No
CUST-0179,Male,0,No,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,35.73,206.23,Yes
CUST-0180,Male,0,No,No,5,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,No,Credit card (automatic),100.04,496.02,No
CUST-0181,Male,0,No,Yes,48,Yes,No,DSL,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),57.8,2655.93,No
CUST-0182,Male,1,Yes,No,67,Yes,No,Fiber optic,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,91.97,5914.46,No
CUST-0183,Female,0,No,Yes,56,No,No phone service,Fiber optic,No,No,No,No,Month-to-month,Yes,Credit card (automatic),92.79,5152.6,No
CUST-0184,Male,0,No,Yes,9,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.23,310.86,No
CUST-0185,Male,0,Yes,Yes,63,Yes,No,DSL,No,No,No,No,Two year,Yes,Bank transfer (automatic),73.58,4832.9,No
CUST-0186,Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),42.49,167.83,Yes
